2022-05-17 01:46:36,"b'Junimart Girsang: Hasil Konsinyering, Waktu Pemenuhan Logistik Pemilu 2024 Disepakati 90 Hari -\xe2\x80\xa6 https://t.co/rNizRGRg9J'"
2022-05-17 01:09:00,"b'Prediksi LIPI: KIB Bentukan Golkar, PPP, PAN Bakal Lawan PDIP - Gerindra yang Usung Prabowo - Puan\n \n#Pemilu2024\xe2\x80\xa6 https://t.co/WaRQECRmiT'"
2022-05-17 01:07:43,"b'Tingkat Kepuasan Publik pada Presiden Jokowi 78,3 Persen https://t.co/forfPkGvlk #Jokowi #presidenRI #berita\xe2\x80\xa6 https://t.co/ZSYqYMQ3aJ'"
2022-05-17 00:01:00,"b'Pemerintah, DPR, KPU dan Bawaslu telah menyepakati anggaran Pemilu 2024 sebesar sebesar Rp76,656 triliun. Keputusan\xe2\x80\xa6 https://t.co/oNqKvMH5ly'"
2022-05-16 14:22:06,"b'RT @Ricky_Tamba: Temu Kader Partai #Gerindra se- #Tangerang #Tangsel #TangerangRaya #Banten , #SufmiDasco Ahmad pimpin Deklarasi #2024Prabo\xe2\x80\xa6'"
2022-05-16 12:33:54,"b'Prediksi LIPI: KIB Bentukan Golkar, PPP, PAN Bakal Lawan PDIP - Gerindra yang Usung Prabowo - Puan\n \n#Pemilu2024\xe2\x80\xa6 https://t.co/07TWUIQInT'"
2022-05-16 11:30:51,"b'JAKARTA, https://t.co/sup7I89IRo\xc2\xa0- Pengamat Komunikasi Politik dari Universitas Pancasila, Gede Moenanto Soekowati,\xe2\x80\xa6 https://t.co/tjOk2Kh5Vn'"
2022-05-16 11:04:27,"b'RT @nusabalicom: Beri Dukungan Airlangga Jadi Capres, Ridwan Kamil: Balas Budi ke Golkar https://t.co/hTK8HDH9CJ\n\n#AirlanggaHartarto #Ridwa\xe2\x80\xa6'"
2022-05-16 10:55:17,"b'Beri Dukungan Airlangga Jadi Capres, Ridwan Kamil: Balas Budi ke Golkar https://t.co/hTK8HDH9CJ\n\n#AirlanggaHartarto\xe2\x80\xa6 https://t.co/hiBTFhhNMa'"
2022-05-16 10:26:22,"b'Ada kementerian \xe2\x80\x98rasa\xe2\x80\x99 parpol, Masinton: ya, seperti Partai BUMN\n\nhttps://t.co/DbGr6WHqBC\n\n#politisipdip #parpol\xe2\x80\xa6 https://t.co/NFTHubdcmF'"
2022-05-16 08:37:01,"b'RT @Ricky_Tamba: Temu Kader Partai #Gerindra se- #Tangerang #Tangsel #TangerangRaya #Banten , #SufmiDasco Ahmad pimpin Deklarasi #2024Prabo\xe2\x80\xa6'"
2022-05-16 08:28:39,"b'Temu Kader Partai #Gerindra se- #Tangerang #Tangsel #TangerangRaya #Banten , #SufmiDasco Ahmad pimpin Deklarasi\xe2\x80\xa6 https://t.co/ceF4cDMWbX'"
2022-05-16 08:11:38,"b'RT @Ricky_Tamba: Temu Kader Partai #Gerindra se- #Tangerang #Tangsel #TangerangRaya #Banten , #SufmiDasco Ahmad pimpin Deklarasi #2024Prabo\xe2\x80\xa6'"
2022-05-16 08:10:01,"b'Temu Kader Partai #Gerindra se- #Tangerang #Tangsel #TangerangRaya #Banten , #SufmiDasco Ahmad pimpin Deklarasi\xe2\x80\xa6 https://t.co/rxhvme1cHC'"
2022-05-16 04:07:40,b'Salam Awas. #SahabatBawaslu\n\nKeluarga Bawaslu Kuningan Mengucapkan selamat Hari Raya Waisak 2566 BE/2022.\n\nSemoga W\xe2\x80\xa6 https://t.co/tkU4E3Wjwj'
2022-05-16 03:51:55,b'Jadwal pemilu 2024 sudah ditetapkan\n#pemilu2024 https://t.co/9zL4FffHOp'
2022-05-16 03:19:39,"b'Anggaran Pemilu 2024, KPU Kaltara Tunggu Informasi Pusat\n\n#pemilu2024 #anggaranpemilu #politik #kpu #kaltara\xe2\x80\xa6 https://t.co/8ZdCGC38Db'"
2022-05-16 01:42:09,b'#TemanPemilih KPU Kabupaten Rembang mengucapkan Selamat Hari Raya Waisak bagi Umat Budha di seluruh Indonesia\xe2\x80\xa6 https://t.co/yThXqK136R'
