Date,Tweet
5/27/2022 1:49,"RT @TravellerRacism: This is the original al @pontins Traveller/Romany surname blacklist, one of which is my own. Racist policies that are…"
5/27/2022 1:42,RT @DiversityMusing: What we think racism looks like in the hiring process... and what it actually looks like. Racism occurs at each decisi…
5/27/2022 1:40,"And the #RadicalRightwingGOP , who won't let teachers talk about #racism, somehow think that teachers should be exp… https://t.co/3qMrm0YgEC"
5/27/2022 1:39,RT @STVASTG: The security guard who died trying to stop the white supremacist who murdered those people at TOPS is named Aaron Salter Jr. B…
5/27/2022 1:38,RT @cwilli72691: @NarroVictor @CaliCre8ive @JonnyPeltz @RickCarusoLA #racism they know exactly what there doing and #Shame on @RickCarusoLA…
5/27/2022 1:34,@NarroVictor @CaliCre8ive @JonnyPeltz @RickCarusoLA #racism they know exactly what there doing and #Shame on… https://t.co/oWBjrz8t0B
5/27/2022 1:33,RT @CRights101: @Area72ENT @MISenDems @drlisadcook @USAO_WDMI @dsleyton @MI_LBC @MichiganDems @MIHouseDems @SenateDems @GovWhitmer @AP_Poli…
5/27/2022 1:31,"Have been trying to explain to some people why the n-word is bad, even when it's only being used as a description.… https://t.co/2bkuZXd4kx"
5/27/2022 1:31,"hey #America fwiw you can hate someone without bringing their #Race / #Ethnicity / #Nationality into things

#Stop… https://t.co/2zBU1VnJxU"
5/27/2022 1:25,"#Racism is an insidious disease - it needs to be addressed!
- Carol Petterson
 @Reconcil_WA… https://t.co/VcozlzIrZl"
5/27/2022 1:25,RT @RacialHealthEq: Check out this blog and video about the special collection of papers from the COVID TaskForce on Racism &amp; Equity that a…
5/27/2022 1:25,.@GOP doesn't think teachers can be trusted to teach about #racism + #gendereqality but somehow they can take down… https://t.co/OxaQRJnyVM
5/27/2022 1:17,"For the white Americans who have the privilege &amp; right to vote in #Texas &amp; across the US, stop &amp; think abt your fel… https://t.co/q8YBO9EX8m"
5/27/2022 1:16,"White folks, it's up to you and me to do something about racism in this country. Thoughts and prayers aren't enough… https://t.co/M1vAxgXgCM"
5/27/2022 1:15,"@JohnstoneJordan @profamirattaran #WTF is 💯 correct, Jordan. 

It’s like the #pandemic is rapidly exposing… https://t.co/8IxHhpgBEu"
5/27/2022 1:09,"White woman tells Black NBA player he is 'not American' (video) - Rolling Out https://t.co/3zOh5RTz03, #NBA,… https://t.co/vM4M7MwiQH"
5/27/2022 1:09,We haven't lost the war on #racism and we're not gonna lose the war on stopping cops from doing violent drills in o… https://t.co/Uel40JzjA7
5/27/2022 1:06,Full story https://t.co/wlHfqHV829 🟪🟪#conservative #domesticterrorism #equality #hood #joebiden #kellyanneconway… https://t.co/eJR3KfsI9e
5/27/2022 1:00,Download the @YWCACleveland Women of Achievement program book👉 https://t.co/kxBpCiWtfw to learn about 2022 Honorees… https://t.co/yfwxLCHT57
5/27/2022 0:56,RT @STVASTG: The security guard who died trying to stop the white supremacist who murdered those people at TOPS is named Aaron Salter Jr. B…
5/27/2022 0:56,"3/4 
➡️ bring in new laws to protect faith institutions from violence and intimidation 
➡️ create a new Cabinet Min… https://t.co/wQBqHkOnhQ"
5/27/2022 0:56,RT @STVASTG: The security guard who died trying to stop the white supremacist who murdered those people at TOPS is named Aaron Salter Jr. B…
5/27/2022 0:51,"RT @politcal2022: @happyoye True, but #Casteism is worst form of #racism 

Casteism starts before birth and continues till generations.…"
