,text_clean
0,worth repeat white peopl creat casual racism ingrain think normal behavior poc point worst repli give say wrong racist right expew
1,maggienyt trumpism isnt polit longstand violenc intimid generat machin racism fascism lie combin fractur social divi deterior societ stress point central park wall floyd big liejan attack
2,caribbean matter leak windrush repohighlight uk long histori antiblack racism 
3,jasonhickel legaci queen elizabeth ii colonialismrac windrushscand massacreinkenyamaumaurevoltmassacresinzimbabweenvironmentallawsexemptionexemptiontoequalitylawstaxexemptionsfreedomofinformationlawsexemptionfamilystrifepedophilia platinumjubil
4,idk peopl believ racism real dont believ color real
5,countri mass shoot daili rout attack asian rise say racism give lectur india us expect india side 
6,cop shot dead daughter injur terrorist attack polit religion amp racism cost peac prosper uniti scar never healedkafirtrfkashmirilivesmatterkashmiragainstterror 
7,rpsagainsttrump tfg didnt damag christianityh expo evangel could stood princip turn back instead saw shot embrac himand greed hate gluttoni amp racism deserv veteransagainsttrump
8,cop shot dead daughter injur terrorist attack polit religion amp racism cost peac prosper uniti scar never healedkafirtrfkashmirilivesmatterkashmiragainstterror 
9,klafflesley lordianaustin labourlist anyon think gaza occupi remot qualifi talk conflict way forum kind stupid seen racism
10, wakandangriot meanther arent tornado live believ exist leecasu racism thing even bingo 
11,christian nation perform patriot wrap racism bigotri
12,zayn malik genuin one best vocalist industri ever seen amount racism amp islamophobia hes face last decad disgust wish peopl industri stood
13, zhoninz deadcellsenjoy thequabruh liter mental gymnast justifi racism first say arent bad proceed say probabl fake dms need say fake bad
14,racist terror exbuffalo cop say gun violenc white supremaci must address 
15,obama presid topic racism rise forefront public squar discourseand remain stronger today
16,term like christian nation american first attempt disgui centuri fascism amp unfett systemat racism identifi term lack moral credit use religion countri justifi histor terror bigotri violenc 
17,effothat usa put stick nose countri busi evalu even put fraction efforotten gun racism problem lie deep within cultur might becom better place live
18,countri mass shoot daili rout attack asian rise say racism give lectur india us expect india side 
19,gross brez frame racism sexism bigotri within fandom minor disput ruin element escap oppo ongo trend put margin group risk irrespon 
20,thetomgeorg racismit crude insult aim explicit divi corrupt polit organ
21,racist terror exbuffalo cop say gun violenc white supremaci must address 
22,miotsutsushihen world miyo takano die collect hallucin satoshi houjou must punish game tamura racism save hinamizawa
23,vindib think sinhala friend attempt sing nation anthem tamil way show racism show divid us racism anymoregohomegota srilankaprotest
24, wakandangriot casual racism exact right tonepol black woman critic address peopl come question get attitud snark direct heryou epitom casual racism dont see
25,bizpacreview say parti hate anger exclus deprav pedophilia true parti racism democrat parti kkk segreg go republican parti toler chariti hard work middl class christian sciencelovekind
26,sallylawri shamathahaven yes deeplyroot ongo racism
27,mani tale bear go untold fold dough ate strang object view youtub hero top bear also enjoy read environ racism
28,whole definit racism twist help 
29,pandem anti black racism tie togeth would agr deb tari 
30,nation gun violenc awar day wearorang call attent dead intersect racism white supremaci gun violenc america endgunviol urg senat take action gunviol 
31,bad time bummersno suv hummersno racism discriminationno fat dumb fuck keep peopl nation
32,thetomgeorg huge fallaci error station believ opposit blm root racism read repononprofit done ten million dollar
33,hughlangley would googl cancel event racism due retali white peopl
34,sportsfict historicalf racism great book youll want keep read unexpect end buy 
35,obama presid topic racism rise forefront public squar discourseand remain stronger today
36, mrjamesob ellievh matter mani new member squad idea go impopeopl know squad even exist first place blatant racism mistreat meghan never forgotten
37,obstinacystubborn long fail european heed late fact despot alway breed around world built subjug anoth racism violent oppress deem inferior youll 
38,man share alchemist racism video say wrong apolog club 
39, agr sad think pendulum go swing way lifetim hope see truli want see countri generat hasnt rai racism normal accept half countri
40,term like christian nation american first attempt disgui centuri fascism amp unfett systemat racism identifi term lack moral credit use religion countri justifi histor terror bigotri violenc 
41,miriamhharri oniblackstock harvardm bidmchealth odd enough issu exacerb fail polici drug prohibit end prohibit gun violenc racism inadequ pain manag declin
42, ive think lot caus school shoot relationship structur racism american societi newish form mass media one hand sympathet focus settlermoreov ice must destroy
43,presid trump racism evil cspan via youtub
44,jimmykimmel everytown problem gun video game social media mental ill reefer mad global warm cow milk obe soft target polic racism youth indiscret border climat chang singl parent gun period
45,never forget racism ineptitud got us buffalo uvald work fuck field save children system work never built protect everyon 
46,sallylawri shamathahaven yes deeplyroot ongo racism
47, racism amp system mistreat black peopl still happen thank white folk
48,sportsfict historicalf racism great book youll want keep read unexpect end buy 
49,presid trump racism evil cspan via youtub
50,racist claim fight racism casteist claim fight casteism isnt bread butter jam 
51,never forget racism ineptitud got us buffalo uvald work fuck field save children system work never built protect everyon 
